Airport code,,District,Country
BDM,Bandirma,BalÄ±kesir Province,Turkey
BDN,Talhar,Sindh,Pakistan
BDO,Husein Sastranegara,Jawa Barat,Indonesia
BDP,Bhadrapur,Mechi,Nepal
BDQ,Vadodara,Arkansas,United States
BDR,Igor I. Sikorsky Mem.,Connecticut,United States
BDS,Papola Casale,Apulia,Italy
BDT,Kisangani,Equateur Province,Congo (Kinshasa)
BDU,Bardufoss,Troms,Norway
BDV,Moba,Katanga Province,Congo (Kinshasa)
BDW,Bedford Downs,Western Australia,Australia
BDX,Broadus,Montana,United States
BDY,State,Oregon,United States
BDZ,Baindoung,Morobe,Papua New Guinea
BEA,Bereina,Texas,United States
BEB,Benbecula,Scotland,United Kingdom
BEC,Beech,Kansas,United States
BED,Hanscom Field,Massachusetts,United States
BEE,Beagle Bay,Western Australia,Australia
BEF,Bluefields,Atlantico Sur,Nicaragua
BEG,Belgrade - Nikola Tesla International Airport,Beograd (city),Serbia
BEH,Ross Field,Michigan,United States
BEI,Beica,Benshangul-Gumaz,Ethiopia
BEJ,Berau,East Kalimantan,Indonesia
BEK,Bareli,Uttar Pradesh,India
BEL,Val De Cans,CÃ_rdoba Province,Argentina
BEM,Bossembele,Ombella-M'Poko,Central African Republic
BEN,Benina Intl,Benghazi District,Libya
BEO,Belmont,New South Wales,Australia
BEP,Bellary,Karnataka,India
BEQ,Honington,England,United Kingdom
BES,Guipavas,Brittany,France
BET,Bethel Airport,Alaska,United States
BEU,Bedourie,Queensland,Australia
BEV,Beer Sheba,Southern District,Israel
BEW,Beira,Sofala Province,Mozambique
BEX,RAF Station,England,United Kingdom
BEY,Beirut Rafic Hariri International Airport,Mount Lebanon Governorate,Lebanon
BEZ,Beru,Gilbert Islands,Kiribati
BFA,Bahia Negra,Michigan,United States
BFB,Blue Fox Bay,Not found,Not found
BFC,Bloomfield,Queensland,Australia
BFD,Bradford,Pennsylvania,United States
BFE,Bielefeld,North Rhine-Westphalia,Germany
BFF,Scotts Bluff County,Nebraska,United States
BFG,Bullfrog Basin,Utah,United States
BFH,Bacacheri,ParanÃ¡,Brazil
BFI,Boeing Fld Intl,Washington,United States
BFJ,Ba,Western,Fiji
BFK,Buckley ANGB,Colorado,United States
BFL,Meadows Field,California,United States
BFM,Mob Aerospace,Alabama,United States
BFO,Buffalo Range,Masvingo Province,Zimbabwe
BFP,Beaver Falls,Pennsylvania,United States
BFQ,Bahia Pinas,DariÃ©n Province,Panama
BFR,Virgil I Grissom Muni,Indiana,United States
BFS,Belfast Aldergrove International,Northern Ireland,United Kingdom
BFT,County,South Carolina,United States
BFU,Bengbu,Anhui Province,China
BFV,Buri Ram,Buri Ram Province,Thailand
BFW,Sidi Belabbes,Sidi Bel Abbes Province,Algeria
BFX,Bafoussam,West Region,Cameroon
BGA,Palo Negro,Santander Department,Colombia
BGB,Booue,OgoouÃ©-Ivindo Province,Gabon
BGC,Braganca,BraganÃ§a District,Portugal
BGD,Borger,Texas,United States
BGE,Decatur County,Georgia,United States
BGF,Bangui,Ombella-M'Poko,Central African Republic
BGG,Bongouanou,BingÃ¶l Province,Turkey
BGH,Abbaye,Brakna Region,Mauritania
BGI,Grantley Adams Intl,Christ Church,Barbados
BGJ,Borgarfjordur Eystri,Eastern Region,Iceland
BGK,Big Creek,Stann Creek District,Belize
BGL,Baglung,Dhawalagiri,Nepal
BGM,Endicott,New York,United States
BGN,R.A.F.,North Rhine-Westphalia,Germany
BGO,"Bergen Airport, Flesland",Hordaland,Norway
BGP,Bongo,OgoouÃ©-Maritime Province,Gabon
BGQ,Big Lake,Alaska,United States
BGR,International,Maine,United States
BGS,Webb AFB,Not found,Not found
BGT,Bagdad,Arizona,United States
BGU,Bangassou,Mbomou,Central African Republic
BGV,Bento Goncalves,Rio Grande do Sul,Brazil
BGW,Al Muthana,Baghdad Governorate,Iraq
BGX,Bage,Rio Grande do Sul,Brazil
BGY,Orio Al Serio,Lombardy,Italy
BGZ,Braga,Braga District,Portugal
BHA,Bahia De Caraquez,Manabi Province,Ecuador
BHB,Bar Harbor,Maine,United States
BHC,Bhurban Heliport,Georgia,United States
BHD,Belfast City Airport,Northern Ireland,United Kingdom
BHE,Blenheim,Marlborough Region,New Zealand
BHF,Bahia Cupica,ChocÃ_ Department,Colombia
BHG,Brus Laguna,Gracias a Dios,Honduras
BHH,Bisha,Asir Region,Saudi Arabia
BHI,Comandante,Buenos Aires Province,Argentina
BHJ,Rudra Mata,Gujarat,India
BHK,Bukhara,Montana,United States
BHL,Bahia Angeles,Baja California,Mexico
BHM,Birmingham,Alabama,United States
BHN,Beihan,Abyan Governorate,Yemen
BHO,Bhopal,Madhya Pradesh,India
BHP,Bhojpur,Kosi,Nepal
BHQ,Broken Hill,New South Wales,Australia
BHR,Bharatpur,Narayani,Nepal
BHS,Raglan,New South Wales,Australia
BHT,Brighton Downs,Buenos Aires Province,Argentina
BHU,Bhavnagar,Gujarat,India
BHV,Bahawalpur,Punjab,Pakistan
BHW,Bhagatanwala Apt,Punjab,Pakistan
BHX,Birmingham International,England,United Kingdom
BHY,Beihai,Guangxi Autonomous Region,China
BIA,Poretta,Corsica,France
BIB,Baidoa,Bay,Somalia
BIC,Big Creek,CÃ_rdoba Department,Colombia
BID,Block Island,Rhode Island,United States
BIE,Beatrice,Nebraska,United States
BIF,Biggs AAF,Texas,United States
BIG,Intermediate Field,Alaska,United States
BIH,Bishop,California,United States
BII,Enyu Airfield,Bikini,Marshall Islands
BIJ,Biliau,Georgia,United States
BIK,Mokmer,Papua,Indonesia
BIL,Billings,Montana,United States
BIM,International,Bimini,Bahamas
BIN,Bamiyan,Bamiyan Province,Afghanistan
BIO,Bilbao,Basque Country,Spain
BIP,Bulimba,Queensland,Australia
BIQ,Biarritz Parme,Aquitaine,France
BIR,Biratnagar,Kosi,Nepal
BIS,Bismarck,North Dakota,United States
BIT,Baitadi,Mahakali,Nepal
BIU,Bildudalur,Westfjords,Iceland
BIV,Bria,Michigan,United States
BIW,Billiluna,Western Australia,Australia
BIX,Keesler AFB,Mississippi,United States
BIY,Bisho,Eastern Cape,South Africa
BIZ,Bimin,Casanare Department,Colombia
BJA,Bejaia,BÃ©jaÃ¯a Province,Algeria
BJB,Bojnord,North Khorasan Province,Iran
BJC,Jeffco,Colorado,United States
BJD,Bakkafjordur,Northeastern Region,Iceland
BJF,Batsfjord,Finnmark,Norway
BJG,Bolaang,Sulawesi Tengah,Indonesia
BJH,Bajhang,Seti,Nepal
BJI,Bemidji,Minnesota,United States
BJJ,Wayne County,Ohio,United States
BJK,Benjina,Maluku,Indonesia
BJL,Yundum International,Western,Gambia
BJM,International,Bujumbura,Burundi
BJN,Bajone,Not found,Not found
BJO,Bermejo,Tarija Department,Bolivia
BJP,Braganca Paulista,SÃ£o Paulo,Brazil
BJR,Bahar Dar,Amara,Ethiopia
BJT,Bentota River,Western Province,Sri Lanka
BJU,Bajura Arpt,Seti,Nepal
BJV,Milas Airport,MuÄŸla Province,Turkey
BJW,Bajawa,Nusa Tenggara Timur,Indonesia
BJX,Del Bajio,Guanajuato,Mexico
BJY,Batajnica,Srem,Serbia
BJZ,Talaveral La Real,Extremadura,Spain
BKA,Bykovo,Moscow Oblast,Russia
BKB,Bikaner,Rajasthan,India
BKC,Buckland,Alaska,United States
BKD,Stephens County,Texas,United States
BKE,Baker,Oregon,United States
BKF,Brooks Lake,Colorado,United States
BKH,Barking Sands,Hawaii,United States
BKI,Kota Kinabalu,Sabah,Malaysia
BKJ,Boke,BokÃ© Region,Guinea
BKK,International,Bangkok Province,Thailand
BKL,Burke Lakefront,Ohio,United States
BKM,Bakalalan,Sarawak,Malaysia
BKN,Birni Nkoni,Balkan,Turkmenistan
BKO,Bamako,Koulikoro Region,Mali
BKP,Barkly Downs,Queensland,Australia
BKQ,Blackall,Queensland,Australia
BKR,Bokoro,Chari-Baguirmi,Chad
BKS,Padangkemiling,Texas,United States
BKT,Blackstone AAF,Virginia,United States
BKU,Betioky,Toliara,Madagascar
BKW,Beckley,West Virginia,United States
BKX,Brookings,South Dakota,United States
BKY,Kamenbe,Sud-Kivu Province,Congo (Kinshasa)
BKZ,Bukoba,Kagera Region,Tanzania
BLA,Gen J A Anzoategui,Anzoategui,Venezuela
BLB,Balboa,PanamÃ¡ Oeste Province,Panama
BLC,Ngurah Rai,Buenos Aires Province,Argentina
BLD,Boulder City,Nevada,United States
BLE,Dala,Buenos Aires Province,Argentina
BLF,Princeton,West Virginia,United States
BLG,Belaga,Alaska,United States
BLH,Blythe,California,United States
BLI,Bellingham,Washington,United States
BLJ,Batna,Batna Province,Algeria
BLK,Blackpool,England,United Kingdom
BLL,Billund,South Denmark,Denmark
BLM,Monmouth County,New Jersey,United States
BLN,Benalla,Catamarca Province,Argentina
BLO,Blonduos,Northwestern Region,Iceland
BLP,Bellavista,San MartÃ_n Region,PerÃº
BLQ,Guglielmo Marconi,Emilia-Romagna,Italy
BLR,Hal,Buenos Aires Province,Argentina
BLS,Bollon,Queensland,Australia
BLT,Blackwater,Queensland,Australia
BLU,Blue Canyon,California,United States
BLV,Belleville,Illinois,United States
BLW,Bellows Field,Hawaii,United States
BLX,Belluno,Not found,Not found
BLY,Belmullet,County Mayo,Ireland
BLZ,Chileka,Blantyre District,Malawi
BMA,Bromma,Stockholms lÃ_n,Sweden
BMB,Bumba,Equateur Province,Congo (Kinshasa)
BMC,Brigham City,Utah,United States
BMD,Belo,Toliara,Madagascar
BME,Broome,Western Australia,Australia
BMF,Bakouma,Mbomou,Central African Republic
BMG,Bloomington,Indiana,United States
BMH,Bomai,Chimbu,Papua New Guinea
BMI,Bloomington-Normal,Illinois,United States
BMJ,Baramita,Barima-Waini,Guyana
BMK,Borkum,Lower Saxony,Germany
BML,Berlin,New Hampshire,United States
BMM,Bitam,Woleu-Ntem Province,Gabon
BMN,Bamerny,Duhok Governorate,Iraq
BMO,Bhamo,Kachin State,Burma
BMP,Brampton Island,Queensland,Australia
BMQ,Bamburi,Texas,United States
BMR,Baltrum,Lower Saxony,Germany
BMS,Brumado,Bahia,Brazil
BMT,Beaumont Muni,Texas,United States
BMU,Bima,Nusa Tenggara Barat,Indonesia
BMV,Phung-Duc,Dac Lac Province,Vietnam
BMW,Bordj Badji Mokhtar,Adrar Province,Algeria
BMX,Big Mountain,Alaska,United States
BMY,Belep Island,New Caledonia,Not found
BMZ,Bamu,Western (Fly River),Papua New Guinea
BNA,Metropolitan,Tennessee,United States
BNB,Boende,Equateur Province,Congo (Kinshasa)
BNC,Beni,Nord-Kivu Province,Congo (Kinshasa)
BND,Bandar Abbas,Hormozgan Province,Iran
BNE,Brisbane International,Queensland,Australia
BNF,Warm Spring Bay SPB,Alaska,United States
BNG,Banning,California,United States
BNH,Barnes,Not found,Not found
BNI,Benin City,Edo,Nigeria
BNK,Ballina Byron Gateway,New South Wales,Australia
BNL,Barnwell County,South Carolina,United States
BNM,Bodinumu,Central,Papua New Guinea
BNN,Bronnoy,Nordland,Norway
BNO,Burns,Oregon,United States
BNP,Bannu,North-West Frontier,Pakistan
BNQ,Baganga,Davao Oriental Province,Philippines
BNR,Banfora,Comoe,Burkina Faso
BNS,Barinas,Barinas,Venezuela
BNT,Bundi,Madang,Papua New Guinea
BNU,Blumenau,Santa Catarina,Brazil
BNV,Boana,Morobe,Papua New Guinea
BNW,Boone,Iowa,United States
BNX,Banja Luka,Republika Srpska,Bosnia and Herzegovina
BNY,Bellona,Rennell and Bellona,Solomon Islands
BNZ,Banz,Jiwaka,Papua New Guinea
BOA,Boma,Bas-Congo Province,Congo (Kinshasa)
BOB,Motu-mute,French Polynesia,Not found
BOC,Bocas Del Toro,Bocas del Toro Province,Panama
BOD,Bordeaux Airport,Aquitaine,France
BOE,Boundji,Cuvette Department,Congo (Brazzaville)
BOF,Bolling AFB,District of Columbia,United States
BOG,Eldorado,Cundinamarca Department,Colombia
BOH,Bournemouth International,England,United Kingdom
BOI,Air Term. (Gowen Fld),Idaho,United States
BOJ,Bourgas,Burgas Province,Bulgaria
BOK,Brookings State,Oregon,United States
BOL,Bally Kelly,RÃ_o Negro Province,Argentina
BOM,Chhatrapati Shivaji,Maharashtra,India
BON,Flamingo International,Caribbean Netherlands,Not found
BOO,Bodo,Nordland,Norway
BOP,Bouar,Nana-MambÃ©rÃ©,Central African Republic
BOQ,Boku,Bougainville (North Solomons),Papua New Guinea
BOR,Fontaine,Franche-ComtÃ©,France
BOS,Logan International,Massachusetts,United States
BOT,Boset,Western (Fly River),Papua New Guinea
BOU,Bourges,Centre,France
BOV,Boang,New Ireland,Papua New Guinea
BOW,Bartow,Florida,United States
BOX,Borroloola,Northern Territory,Australia
BOY,Borgo,Houet,Burkina Faso
BOZ,Bozoum,Ouham-PendÃ©,Central African Republic
BPA,Grumman,New York,United States
BPB,Boridi,Not found,Not found
BPC,Bamenda,North-West Region,Cameroon
BPD,Bapi,Morobe,Papua New Guinea
BPE,Bagan,Hebei Province,China
BPF,Batuna Aerodrome,Western,Solomon Islands
BPG,Barra Do Garcas,Mato Grosso,Brazil
BPH,Bislig,Surigao del Sur Province,Philippines
BPI,Big Piney-marbleton,Wyoming,United States
BPK,Biangabip,Arkansas,United States
BPN,Sepingan,East Kalimantan,Indonesia
BPS,Porto Seguro,Bahia,Brazil
BPT,Jefferson County,Texas,United States
BPU,Beppu,Not found,Not found
BPX,Bangda,Tibet Autonomous Region,China
BPY,Besalampy,Mahajanga,Madagascar
BQA,Baler,Aurora Province,Philippines
BQB,Bussellton Airport,Western Australia,Australia
BQE,Bubaque,Bolama Region,Guinea-Bissau
BQH,Biggin Hill,England,United Kingdom
BQI,Bagani,Kavango East Region,Namibia
BQK,Glynco Jetport,Georgia,United States
BQL,Boulia,Queensland,Australia
BQN,Borinquen,Puerto Rico,Not found
BQO,Bouna,Zanzan,CÃ´te d'Ivoire
BQQ,Barra,Bahia,Brazil
BQS,Blagoveschensk,Amur Oblast,Russia
BQT,Brest,Brest Voblast,Belarus
BQU,Bequia Airport,Grenadines,Saint Vincent and the Grenadines
BQV,Bartlett SPB,Alaska,United States
BQW,Balgo Hills,Western Australia,Australia
BRA,Barreiras,Bahia,Brazil
BRB,Barreirinhas,MaranhÃ£o,Brazil
BRC,International,RÃ_o Negro Province,Argentina
BRD,Crow Wing County,Minnesota,United States
BRE,Bremen,Bremen,Germany
BRF,Bradford,Buenos Aires Province,Argentina
BRG,Municipal,East Sepik,Papua New Guinea
BRH,Brahman,Not found,Not found
BRI,Palese,Apulia,Italy
BRJ,Bright,Not found,Not found
BRK,Bourke,New South Wales,Australia
BRL,Burlington,Iowa,United States
BRM,Barquisimeto,Lara,Venezuela
BRN,Belp,Canton of Berne,Switzerland
BRO,South Padre Is. Intl,Texas,United States
BRP,Biaru,Morobe,Papua New Guinea
BRQ,Turany,NeuquÃ©n Province,Argentina
BRR,North Bay,Scotland,United Kingdom
BRS,Bristol,England,United Kingdom
BRT,Bathurst Island,Northern Territory,Australia
BRU,National,Brussels-Capital Region,Belgium
BRV,Bremerhaven,Bremen,Germany
BRW,Wiley Post/W.Rogers M,Alaska,United States
BRX,Barahona,Barahona Province,Dominican Republic
BRY,Samuels Field,Kentucky,United States
BRZ,Borotou,Not found,Not found
BSA,Bossaso,Bari,Somalia
BSB,Presidente Juscelino Kubitschek International Airport,Distrito Federal,Brazil
BSC,Bahia Solano,ChocÃ_ Department,Colombia
BSD,Baoshan,Yunnan Province,China
BSE,Sematan,Sarawak,Malaysia
BSF,Bradshaw AAF,Hawaii,United States
BSG,Bata,Litoral,Equatorial Guinea
BSH,Brighton,Not found,Not found
BSI,Blairsville,Pennsylvania,United States
BSJ,Bairnsdale,Victoria,Australia
BSK,Biskra,Biskra Province,Algeria
BSL,EuroAirport Swiss CH,Alsace,France
BSM,Bishe-Kola,Mazandaran Province,Iran
BSN,Bossangoa,Ouham,Central African Republic
BSO,Basco,Cagayan Province,Philippines
BSP,Bensbach,Western (Fly River),Papua New Guinea
BSQ,Bisbee Municipal Arpt,Arizona,United States
BSR,International,Basra Governorate,Iraq
BSS,Balsas,MaranhÃ£o,Brazil
BST,Bost,Maine,United States
BSU,Basankusu,Equateur Province,Congo (Kinshasa)
BSV,Besakoa,Southern Highlands,Papua New Guinea
BSW,Boswell Bay,Alaska,United States
BSX,Bassein,Ayeyarwady Division,Burma
BSY,Bardera,Gedo,Somalia
BSZ,Bartletts,Alaska,United States
BTA,Yaoundé,Corrientes Province,Argentina
BTB,Betou,Likouala Department,Congo (Brazzaville)
BTC,Batticaloa,Eastern Province,Sri Lanka
BTD,Brunette Downs,Northern Territory,Australia
BTE,Bonthe,Southern Province,Sierra Leone
BTF,Salt Lake Skypark,Utah,United States
BTG,Batangafo,Ouham,Central African Republic
BTH,Hang Nadim,Riau,Indonesia
BTI,Barter Island,Alaska,United States
BTJ,Blang Bintang,Aceh,Indonesia
BTK,Bratsk,Irkutsk Oblast,Russia
BTL,WK Kellogg Regional,Michigan,United States
BTM,Butte,Montana,United States
BTN,Bennettsville,South Carolina,United States
BTO,Botopasie,Sipaliwini,Suriname
BTP,Graham Field,Pennsylvania,United States
BTQ,Butare,South,Rwanda
BTR,Ryan,Louisiana,United States
BTS,Ivanka,Bratislava,Slovakia
BTT,Bettles,Alaska,United States
BTU,Bintulu,Sarawak,Malaysia
BTV,International,Vermont,United States
BTW,Batu Licin,Kalimantan Selatan,Indonesia
BTX,Betoota,Queensland,Australia
BTY,Beatty,Nevada,United States
BTZ,Bursa Airport,Bursa Province,Turkey
BUA,Buka,Bougainville (North Solomons),Papua New Guinea
BUB,Municipal,Nebraska,United States
BUC,Burketown,Queensland,Australia
BUD,Ferihegy,Pest,Hungary
BUF,Buffalo Niagara International,New York,United States
BUG,Gen V Deslandes,Benguela Province,Angola
BUI,Bokondini,Papua,Indonesia
BUJ,Ain Eddis,M'Sila Province,Algeria
BUK,Albuq,Sa'dah Governorate,Yemen
BUL,Bulolo,Morobe,Papua New Guinea
BUM,Butler,Missouri,United States
BUN,Buenaventura,Valle del Cauca Department,Colombia
BUO,Burao,Togdheer,Somalia
BUP,Bhatinda,Punjab,India
BUQ,Bulawayo,Bulawayo Metropolitan Province,Zimbabwe
BUR,Bob Hope,California,United States
BUS,Batumi,Autonomous Republic of Adjara,Georgia
BUT,Burtonwood,Bumthang,Bhutan
BUU,Buyo,Wisconsin,United States
BUV,Bella Union,Artigas Department,Uruguay
BUW,Baubau,Sulawesi Tenggara,Indonesia
BUX,Bunia,Orientale Province,Congo (Kinshasa)
BUY,Bunbury,North Carolina,United States
BUZ,Bushehr,Bushehr Province,Iran
BVA,Beauvais-Tille,Picardie,France
BVB,Boa Vista,Roraima,Brazil
BVC,Rabil,Barlavento Islands,Cape Verde
BVD,Sea Port,Not found,Not found
BVE,Laroche,Limousin,France
BVF,Dama,Northern,Fiji
BVG,Berlevag,Finnmark,Norway
BVH,Vilhena,RondÃ´nia,Brazil
BVI,Birdsville,Pennsylvania,United States
BVK,Huacaraje,Alaska,United States
BVL,Baures,El Beni Department,Bolivia
BVM,Belmonte,Bahia,Brazil
BVO,Bartlesville,Oklahoma,United States
BVP,Bolovip,Western (Fly River),Papua New Guinea
BVR,Esperadinha,Sotavento Islands,Cape Verde
BVS,Breves,ParÃ¡,Brazil
BVU,Beluga,Alaska,United States
BVW,Batavia Downs,Queensland,Australia
BVX,Municipal,Arkansas,United States
BVY,Beverly,Massachusetts,United States
BVZ,Beverley Springs,Western Australia,Australia
BWA,Bhairawa,Lumbini,Nepal
BWB,Barrow Island,Western Australia,Australia
BWC,Brawley,California,United States
BWD,Brownwood,Texas,United States
BWE,Braunschweig,Lower Saxony,Germany
BWF,Walney Island,England,United Kingdom
BWG,Warren County,Kentucky,United States
BWH,Butterworth,Pulau Pinang,Malaysia
BWI,Balt/wash International,Maryland,United States
BWJ,Bawan,Morobe,Papua New Guinea
BWK,Bol,Split-Dalmatia County,Croatia
BWL,Blackwell,Oklahoma,United States
BWM,Bowman,North Dakota,United States
BWN,Brunei International,Brunei-Muara District,Brunei
BWO,Balakovo,Saratov Oblast,Russia
BWP,Bewani,North Dakota,United States
BWQ,Brewarrina,New South Wales,Australia
BWS,Blaine,Washington,United States
BWT,Burnie Wynyard,Tasmania,Australia
BWU,Sydney Bankstown,New South Wales,Australia
BWY,Bentwaters St,England,United Kingdom
BXA,George R Carr,Louisiana,United States
BXB,Babo,West Papua,Indonesia
BXC,Boxborough,Not found,Not found
BXD,Bade,Papua,Indonesia
BXE,Bakel,Tambacounda Region,Senegal
BXF,Belburn,Western Australia,Australia
BXG,Bendigo,Georgia,United States
BXH,Balhash,Karaganda Region,Kazakhstan
BXI,Boundiali,Savanes,CÃ´te d'Ivoire
BXJ,Burundai,Almaty Region,Kazakhstan
BXK,Buckeye,Arizona,United States
BXL,Blue Lagoon,Western,Fiji
BXM,Batom,Maine,United States
BXN,Imsik Airport,MuÄŸla Province,Turkey
BXO,Buochs,Canton of Nidwalden,Switzerland
BXR,Bam,Kerman Province,Iran
BXS,Borrego Springs,California,United States
BXT,Bontang,East Kalimantan,Indonesia
BXU,Butuan,Agusan del Norte Province,Philippines
BXV,Breiddalsvik,Eastern Region,Iceland
BXX,Borama,Woqooyi Galbeed,Somalia
BXZ,Bunsil,Morobe,Papua New Guinea
BYA,Boundary,Alaska,United States
BYB,Dibaa,Musandam Governorate,Oman
BYC,Yacuiba,Tarija Department,Bolivia
BYD,Beidah,Al Bayda' Governorate,Yemen
BYG,Municipal,Wyoming,United States
BYH,Blytheville AFB,Arkansas,United States
BYI,Rupert,Idaho,United States
BYK,Bouake,VallÃ©e du Bandama,CÃ´te d'Ivoire
BYL,Bella Yella,Kentucky,United States
BYM,C.M. de Cespedes,Granma,Cuba
BYN,Bayankhongor,Bayanhongor,Mongolia
BYO,Bonito Airport,Mato Grosso do Sul,Brazil
BYQ,Bunyu,North Kalimantan,Indonesia
BYR,Laeso Airport,North Jutland,Denmark
BYS,Bicycle Lake AAF,California,United States
BYT,Bantry,County Cork,Ireland
BYU,Bindlacher-Berg,Bavaria,Germany
BYW,Blakely Island,Washington,United States
BYX,Baniyala,Northern Territory,Australia
BZA,San Pedro,Atlantico Norte,Nicaragua
BZB,Bazaruto Island,Inhambane Province,Mozambique
BZC,Buzios,Rio de Janeiro,Brazil
BZD,Balranald,New South Wales,Australia
BZE,Philip S.W.Goldson Int,Belize District,Belize
BZG,Bydgoszcz I. J. Paderewski Airport,Kuyavia-Pomerania,Poland
BZH,Bumi Hills,Mashonaland West Province,Zimbabwe
BZI,Balikesir,BalÄ±kesir Province,Turkey
BZK,Briansk,Bryansk Oblast,Russia
BZL,Barisal,Barisal Division,Bangladesh
